Line 316: opens 0, closes 0, net 0
Line 317: opens 0, closes 0, net 0
Line 318: opens 1, closes 0, net 1
Line 319: opens 0, closes 0, net 1
Line 320: opens 1, closes 0, net 2
Line 321: opens 1, closes 0, net 3
Line 322: opens 0, closes 0, net 3
Line 323: opens 1, closes 0, net 4
Line 324: opens 1, closes 0, net 5
Line 325: opens 0, closes 0, net 5
Line 326: opens 0, closes 0, net 5
Line 327: opens 0, closes 0, net 5
Line 328: opens 0, closes 0, net 5
Line 329: opens 0, closes 0, net 5
Line 330: opens 0, closes 0, net 5
Line 331: opens 0, closes 1, net 4
Line 332: opens 0, closes 0, net 4
Line 333: opens 1, closes 0, net 5
Line 334: opens 0, closes 0, net 5
Line 335: opens 1, closes 0, net 6
Line 336: opens 0, closes 0, net 6
Line 337: opens 1, closes 0, net 7
Line 338: opens 1, closes 0, net 8
Line 339: opens 0, closes 0, net 8
Line 340: opens 0, closes 0, net 8
Line 341: opens 0, closes 0, net 8
Line 342: opens 0, closes 0, net 8
Line 343: opens 0, closes 0, net 8
Line 344: opens 0, closes 0, net 8
Line 345: opens 0, closes 0, net 8
Line 346: opens 0, closes 0, net 8
Line 347: opens 0, closes 0, net 8
Line 348: opens 0, closes 0, net 8
Line 349: opens 0, closes 0, net 8
Line 350: opens 0, closes 0, net 8
Line 351: opens 0, closes 0, net 8
Line 352: opens 0, closes 1, net 7
Line 353: opens 0, closes 0, net 7
Line 354: opens 0, closes 0, net 7
Line 355: opens 0, closes 0, net 7
Line 356: opens 0, closes 0, net 7
Line 357: opens 0, closes 0, net 7
Line 358: opens 0, closes 0, net 7
Line 359: opens 0, closes 0, net 7
Line 360: opens 0, closes 0, net 7
Line 361: opens 0, closes 0, net 7
Line 362: opens 0, closes 0, net 7
Line 363: opens 0, closes 0, net 7
Line 364: opens 1, closes 0, net 8
Line 365: opens 0, closes 0, net 8
Line 366: opens 0, closes 0, net 8
Line 367: opens 0, closes 0, net 8
Line 368: opens 0, closes 0, net 8
Line 369: opens 0, closes 0, net 8
Line 370: opens 0, closes 0, net 8
Line 371: opens 0, closes 0, net 8
Line 372: opens 0, closes 0, net 8
Line 373: opens 0, closes 0, net 8
Line 374: opens 0, closes 0, net 8
Line 375: opens 0, closes 0, net 8
Line 376: opens 0, closes 0, net 8
Line 377: opens 0, closes 0, net 8
Line 378: opens 0, closes 0, net 8
Line 379: opens 0, closes 0, net 8
Line 380: opens 0, closes 0, net 8
Line 381: opens 0, closes 1, net 7
Line 382: opens 1, closes 0, net 8
Line 383: opens 0, closes 0, net 8
Line 384: opens 0, closes 0, net 8
Line 385: opens 0, closes 0, net 8
Line 386: opens 0, closes 0, net 8
Line 387: opens 0, closes 0, net 8
Line 388: opens 0, closes 0, net 8
Line 389: opens 0, closes 0, net 8
Line 390: opens 0, closes 0, net 8
Line 391: opens 0, closes 0, net 8
Line 392: opens 0, closes 0, net 8
Line 393: opens 0, closes 0, net 8
Line 394: opens 0, closes 0, net 8
Line 395: opens 0, closes 0, net 8
Line 396: opens 0, closes 0, net 8
Line 397: opens 0, closes 0, net 8
Line 398: opens 0, closes 0, net 8
Line 399: opens 0, closes 1, net 7
Line 400: opens 1, closes 0, net 8
Line 401: opens 0, closes 0, net 8
Line 402: opens 0, closes 0, net 8
Line 403: opens 0, closes 0, net 8
Line 404: opens 0, closes 0, net 8
Line 405: opens 0, closes 0, net 8
Line 406: opens 0, closes 0, net 8
Line 407: opens 0, closes 0, net 8
Line 408: opens 0, closes 0, net 8
Line 409: opens 0, closes 0, net 8
Line 410: opens 0, closes 0, net 8
Line 411: opens 0, closes 0, net 8
Line 412: opens 0, closes 0, net 8
Line 413: opens 0, closes 0, net 8
Line 414: opens 0, closes 0, net 8
Line 415: opens 0, closes 0, net 8
Line 416: opens 0, closes 0, net 8
Line 417: opens 0, closes 0, net 8
Line 418: opens 0, closes 0, net 8
Line 419: opens 0, closes 0, net 8
Line 420: opens 0, closes 0, net 8
Line 421: opens 0, closes 0, net 8
Line 422: opens 0, closes 0, net 8
Line 423: opens 0, closes 0, net 8
Line 424: opens 0, closes 0, net 8
Line 425: opens 0, closes 1, net 7
Line 426: opens 1, closes 0, net 8
Line 427: opens 0, closes 0, net 8
Line 428: opens 0, closes 0, net 8
Line 429: opens 0, closes 0, net 8
Line 430: opens 0, closes 0, net 8
Line 431: opens 0, closes 0, net 8
Line 432: opens 0, closes 0, net 8
Line 433: opens 0, closes 0, net 8
Line 434: opens 0, closes 0, net 8
Line 435: opens 0, closes 0, net 8
Line 436: opens 0, closes 0, net 8
Line 437: opens 0, closes 0, net 8
Line 438: opens 0, closes 0, net 8
Line 439: opens 0, closes 0, net 8
Line 440: opens 0, closes 1, net 7
Line 441: opens 0, closes 0, net 7
Line 442: opens 0, closes 0, net 7
Line 443: opens 0, closes 0, net 7
Line 444: opens 0, closes 0, net 7
Line 445: opens 0, closes 0, net 7
Line 446: opens 0, closes 0, net 7
Line 447: opens 1, closes 0, net 8
Line 448: opens 0, closes 0, net 8
Line 449: opens 0, closes 0, net 8
Line 450: opens 0, closes 0, net 8
Line 451: opens 0, closes 0, net 8
Line 452: opens 0, closes 0, net 8
Line 453: opens 0, closes 0, net 8
Line 454: opens 0, closes 0, net 8
Line 455: opens 0, closes 0, net 8
Line 456: opens 0, closes 0, net 8
Line 457: opens 0, closes 0, net 8
Line 458: opens 1, closes 0, net 9
Line 459: opens 0, closes 0, net 9
Line 460: opens 0, closes 0, net 9
Line 461: opens 0, closes 0, net 9
Line 462: opens 0, closes 0, net 9
Line 463: opens 0, closes 1, net 8
Line 464: opens 0, closes 0, net 8
Line 465: opens 0, closes 0, net 8
Line 466: opens 0, closes 0, net 8
Line 467: opens 0, closes 1, net 7
Line 468: opens 0, closes 0, net 7
Line 469: opens 1, closes 0, net 8
Line 470: opens 0, closes 0, net 8
Line 471: opens 0, closes 1, net 7
Line 472: opens 0, closes 0, net 7
Line 473: opens 0, closes 1, net 6
Line 474: opens 0, closes 0, net 6
Line 475: opens 0, closes 0, net 6
Line 476: opens 1, closes 0, net 7
Line 477: opens 0, closes 0, net 7
Line 478: opens 0, closes 0, net 7
Line 479: opens 0, closes 0, net 7
Line 480: opens 0, closes 0, net 7
Line 481: opens 0, closes 0, net 7
Line 482: opens 1, closes 0, net 8
Line 483: opens 0, closes 0, net 8
Line 484: opens 0, closes 0, net 8
Line 485: opens 0, closes 0, net 8
Line 486: opens 0, closes 0, net 8
Line 487: opens 0, closes 0, net 8
Line 488: opens 0, closes 0, net 8
Line 489: opens 0, closes 0, net 8
Line 490: opens 0, closes 0, net 8
Line 491: opens 0, closes 0, net 8
Line 492: opens 1, closes 0, net 9
Line 493: opens 0, closes 0, net 9
Line 494: opens 0, closes 1, net 8
Line 495: opens 1, closes 0, net 9
Line 496: opens 0, closes 0, net 9
Line 497: opens 0, closes 0, net 9
Line 498: opens 0, closes 1, net 8
Line 499: opens 0, closes 0, net 8
Line 500: opens 0, closes 0, net 8
Line 501: opens 0, closes 0, net 8
Line 502: opens 0, closes 0, net 8
Line 503: opens 0, closes 0, net 8
Line 504: opens 0, closes 0, net 8
Line 505: opens 0, closes 0, net 8
Line 506: opens 0, closes 0, net 8
Line 507: opens 0, closes 0, net 8
Line 508: opens 0, closes 0, net 8
Line 509: opens 0, closes 0, net 8
Line 510: opens 1, closes 0, net 9
Line 511: opens 0, closes 0, net 9
Line 512: opens 0, closes 1, net 8
Line 513: opens 1, closes 0, net 9
Line 514: opens 0, closes 0, net 9
Line 515: opens 0, closes 0, net 9
Line 516: opens 0, closes 1, net 8
Line 517: opens 0, closes 0, net 8
Line 518: opens 0, closes 0, net 8
Line 519: opens 0, closes 0, net 8
Line 520: opens 1, closes 0, net 9
